<Trait>	SC	15NT1	15NT2	15NT3	DT	DPS	AR	PDM	PTN_percent	PTN	GDM	GTN_percent	GTN
32_02:486634	13.85461457	94.97168968	89.49985001	77.54009323	85.23277376	84.9690269	1.826001311	193.027252	1.157868256	2.236190054	30.51335037	2.065657679	0.581974678
32_03a:486635	3.570299139	100.9449425	91.77692633	80.89129572	91.54611161	91.74794586	3.457323177	215.1978098	1.258931633	2.579046704	19.71747275	2.072326048	0.33072896
32_04:486636	8.845026893	103.5435904	93.33675774	81.50251719	82.63304713	82.75238066	3.626840281	243.4519115	1.29495527	3.300400337	18.52084036	2.382158459	0.360084069
33_01a:486637	4.722575188	94.70155639	90.63617919	82.73485569	98.12485792	98.79029074	5.115594283	247.4265046	NA	NA	NA	NA	NA
33_02:486638	9.274100378	91.69861192	87.99267872	78.65613279	83.07831159	85.56239526	3.489884766	240.0736129	1.177148657	2.840920807	25.46627664	2.012233819	0.465942672
33_05:486639	13.79156037	99.32352297	91.56750203	78.61614659	79.49591986	80.22810584	2.653543845	215.3141277	1.157028217	2.533115659	28.38578242	2.245722228	0.591588301
33_06:486640	9.218226559	90.11822568	81.61816006	73.63918112	77.2985341	80.54074445	3.582904759	218.7942277	1.513717867	3.431309688	20.09190363	2.059085257	0.392609298
34_02:486641	13.20816991	94.60208933	87.77563439	78.98369712	84.6223218	88.39346701	2.025327572	206.3510615	1.078763536	2.151045668	24.24231363	2.120407191	0.482724215
34_03:486642	14.0744017	96.40966126	90.03831673	80.86321011	80.35601321	85.10649179	3.614377899	216.0358434	1.111223152	2.290262978	21.9933198	2.138072034	0.452126528
34_05:486643	13.03265337	101.5903424	92.54557304	77.05438137	80.509476	82.96964167	3.125710561	224.4300706	1.210224935	2.720017345	21.33299402	2.296125931	0.451389925
34_06:486644	11.72486444	93.11428714	86.51824944	80.54777868	80.87291198	83.15677803	3.009032779	208.5921597	1.244189361	2.549715856	20.17529568	2.185304803	0.417366565
35_01:486645	12.11740058	94.67686404	87.30331046	77.5103494	79.50386995	84.76710317	2.151697998	180.2516063	1.152719205	2.029564489	26.47249053	2.221601962	0.572574168
35_02:486646	10.34048852	100.229477	91.82299306	77.51458106	91.94215725	91.83259081	3.523550733	263.3537236	1.089923437	2.854013243	16.96933515	2.269201777	0.247825855
35_03:486647	11.826871	100.3765107	90.69552519	78.34633111	82.50248174	88.10546896	3.344563212	182.9800983	1.122506677	2.02629685	8.525692338	2.279464062	0.171441487
35_04:486648	10.68314792	98.89132347	91.4530552	78.33974593	81.07527028	87.58264784	3.744752761	207.9144435	1.272317322	2.566750276	NA	NA	NA
36_01:486649	10.139288	94.36305271	89.33133868	77.95046586	80.61006352	82.92623218	3.029034079	208.8327391	1.260874119	2.604812525	11.73485829	2.233962047	0.223666822
36_02:486650	13.43434452	93.75530719	87.67471427	76.47362142	72.87569991	80.4369441	1.119623122	184.8619641	1.106144602	2.048180533	39.11272486	2.090793745	0.789636931
36_03:486651	11.56698966	102.0254711	92.85385042	82.32144109	79.71904903	82.785966	2.012689781	214.9650612	1.271577138	2.797060484	21.1154512	2.189468822	0.436988082
36_04:486652	13.46038635	91.47802368	86.79547404	75.59154037	76.68388258	82.84128801	3.035113914	229.564373	1.09957336	2.630343254	43.21588147	2.014468073	0.822089338
36_05:486653	11.10493107	95.88262255	NA	NA	59.11944871	62.85967477	0.917406261	163.2059831	1.148877741	1.818619823	30.50538099	1.932322112	0.561278341
36_06:486654	14.35412929	99.91662857	88.6550496	80.98204025	77.23750813	77.4528669	1.734369577	176.4595898	1.172172878	1.957467176	31.08694489	1.9145017	0.524192928
37_01:486655	10.39746424	94.95771673	89.50050995	77.48712079	80.06389001	80.24978011	2.620509636	238.2254818	1.208143807	3.04609973	29.22914731	2.074066708	0.586177751
37_03:486656	10.81044232	97.92501718	94.54186774	79.52949292	78.60730681	82.08049417	2.238963441	212.942385	1.280237623	2.771880461	15.41846144	2.108140999	0.308250697
37_04:486657	11.06040706	93.56427797	90.12430888	78.90792932	82.01094357	85.85272883	4.376740084	259.4196364	1.241896877	3.173512594	32.37741188	2.058169985	0.647036645
37_05:486659	11.75527358	92.11291408	87.13639888	75.19632414	82.42049571	85.29559662	1.954105944	205.2015879	1.173752478	2.349585434	16.58390812	2.155867943	0.32260792
37_06:486660	8.712242322	98.45542016	86.52552828	80.6977933	76.75808126	82.8506746	3.531844116	219.0520952	1.246954293	2.663776667	NA	NA	NA
38_01:486661	12.26635387	100.8702785	94.2934893	80.82813601	85.63334774	85.53669303	1.789538549	185.1328623	1.09628483	2.095244632	33.21731794	2.069173215	0.641757561
38_02:486662	9.279123216	98.2182486	89.85901802	78.57694384	82.14436401	85.35823249	3.406031559	229.7829651	1.140973455	2.66217471	12.8235597	2.210374024	0.230774368
38_03:486663	12.28730951	93.41398099	85.34349756	78.70106676	85.52006208	85.35464836	2.841337301	227.1124758	1.15067063	2.715100198	26.54758432	2.06326523	0.544522027
38_04:486664	9.586277366	93.73834569	86.93923355	78.87978279	92.50913141	92.19229732	2.311615441	205.5588893	1.135684063	2.330401142	17.48837977	2.190062002	0.366041676
38_05:486665	13.27784023	94.32054146	88.35367039	79.90393932	87.98620271	88.56573505	3.79056842	240.7840158	1.295613043	3.268439126	17.21835061	2.148440705	0.362173953
38_06:486666	11.26055567	96.27967756	87.31686147	77.74261373	83.3094798	88.94964763	3.551133021	210.1208846	1.217046538	2.521457638	24.80800395	2.108662277	0.498409474
39_02:486667	9.86768731	96.88957662	90.83798546	79.32036294	84.73036611	88.45552855	3.942182238	245.9003213	1.164118833	2.911590294	13.70358284	2.229961243	0.261054694
39_03:486668	11.02746429	92.65974908	86.41598245	78.19202333	84.99023883	88.68687873	2.48970071	196.2005271	1.227490773	2.264769541	16.65050755	2.114212734	0.318040505
39_04:486669	9.597900136	98.17524997	93.37737919	82.13499099	82.26586637	85.93158423	2.541664052	185.4734437	1.302933015	2.349699	5.25302636	2.352830589	0.116145727
39_05a:486670	8.569832678	96.80406194	89.02443471	78.52984959	85.87141293	86.14044775	4.299286966	232.1738172	1.346411252	3.16887274	13.32275932	2.246128955	0.251649977
39_06:486671	12.41463676	92.33925594	88.17852024	77.32208366	79.47988227	80.21390913	2.838507549	214.8034253	1.126760137	2.310513936	22.41124359	2.110379482	0.484939023
4_04:486501	12.41741141	93.82209161	89.79076191	80.45335172	83.2785569	88.98956483	2.563625258	238.1706828	1.082387072	2.562277424	43.18719493	2.16050087	0.926078833
4_05:486502	9.881767356	104.5817504	96.86205496	81.27754218	80.86082136	85.35972098	4.172535799	213.6044976	1.132644493	2.37845134	13.66088107	2.108072157	0.257264627
40_01:486672	14.29210383	92.50415965	86.40481622	79.79468444	82.6385909	85.13235347	2.912232678	222.7702826	1.304778177	3.055817234	15.68866234	2.120101756	0.333615576
40_03:486673	12.56153443	97.42227065	85.02545697	83.33714967	80.29440203	82.84985419	3.266715122	225.7512969	1.159227494	2.687534528	19.05617686	2.120814656	0.372394545
40_04:486674	13.77038582	98.85513826	93.19524613	82.58147527	85.39283469	85.34023401	1.217615866	204.3030642	1.102324936	2.18885127	30.72779459	2.200022992	0.648918503
40_05a:486675	NA	92.50219987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40_06:486676	10.76780059	95.16156073	85.79352796	76.82359895	89.13727186	92.02142813	4.317482418	229.613902	1.262672008	2.976609785	11.77659036	2.050603318	0.238963978
41_01:486677	13.10438056	105.1281139	92.41969614	82.86692603	95.43014678	95.46222909	3.408034272	223.8849901	1.236121254	2.90708908	14.88022556	2.260286355	0.303380922
41_02:486678	7.98771998	99.30076475	87.12832029	75.56499507	88.22645302	88.27065846	2.938980362	172.9999404	1.271257622	2.155105499	NA	NA	NA
41_05:486679	10.15745774	96.76211737	89.76073032	78.62155967	81.15110889	85.26199293	3.805480368	202.3491552	1.292564444	2.609798091	21.92872348	2.158228787	0.47889832
41_06:486680	13.57120107	101.9779385	93.18780033	79.68010788	83.06577328	88.47216853	3.247871721	255.0435715	1.202990822	3.207697972	12.63269837	2.230872888	0.297616222
42_01:486681	13.87399664	95.87989834	89.30363135	82.92857989	76.55793667	76.98674408	1.423969621	199.9640704	0.968784278	2.06017714	44.15810105	1.918614803	0.796366666
42_02a:486682	8.804329208	110.1441936	98.40145857	82.36064369	70.23474447	77.38440184	2.898154891	230.4013121	1.205053774	2.794531841	49.5741043	2.06547496	1.002521652
42_03:486683	12.28378188	93.37182243	88.88839408	78.73545771	85.34127485	85.33609318	1.697112208	210.0634426	0.906201052	1.92547225	72.26723126	1.882048729	1.2594495
42_05a:486684	4.458290712	103.1268074	91.9865167	77.57839936	83.25582661	85.55429966	4.821902101	242.4166358	1.27848177	3.206930002	6.503859405	2.182553767	0.150920007
42_06a:486685	10.24290667	91.16399251	88.90070188	78.64103988	88.93985872	92.06237864	3.366817891	156.4469749	1.284083701	1.886675712	NA	NA	NA
43_01:486686	13.42459601	101.5708581	92.31115511	78.98408843	85.00734215	88.39430834	2.396040761	200.6479417	1.177769032	2.42941235	14.69671386	2.264265902	0.319003444
43_02:486687	13.97399822	104.9572447	98.38146198	82.04557082	80.70710888	83.3005331	3.339374813	229.0040679	1.194758339	2.780109773	28.44293298	2.094985167	0.604896449
43_03:486688	13.03632191	97.14478178	94.4150291	81.5789709	79.5280495	82.44581603	2.03313024	203.5784441	1.242811043	2.582405882	20.53332062	2.215005213	0.401315592
43_05:486689	12.45680108	99.27596036	87.16672812	76.38321476	77.06437769	80.55387915	2.300761015	190.638142	1.134337938	2.143229527	71.93642452	2.042474413	1.418654106
43_06:486690	5.792193871	91.47947822	84.5428367	78.56378409	79.64397782	80.1252409	3.026555185	218.0507134	1.25541694	2.718296777	6.917164953	2.371146778	0.153148583
