Longitude,Latitude,Plot,TFamily,Line,Rep,SC,SC_logT,SC_sqrtT,DT,DT_logT,DT_sqrt_T,DPS,DPS_logT,DPS_sqrtT,15NT1,15NT1_logT,15NT1_sqrtT,15NT2,15NT2_logT,15NT2_sqrtT,15NT3,15NT3_logT,15NT3_sqrtT,AR,AR_logT,AR_sqrtT,PDM,PDM_logT,PDM_sqrtT,PTN,PTN_logT,PTN_sqrtT,GDM,GDM_logT,GDM_sqrtT,GTN,GTN_logT,GTN_sqrtT
7,3,7.03,TB,B 71,1,14,1.176091259,3.807886553,92,1.968482949,9.617692031,92,1.968482949,9.617692031,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,0.522878745,1.683250823,189.17,2.279134394,13.77195217,1.56,0.408239965,1.435270009,NA,NA,NA,NA,NA,NA
7,4,7.04,TB,B 63,1,12,1.113943352,3.535533906,80,1.908485019,8.972179222,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,0.367976785,1.354006401,206.83,2.317715203,14.39907404,1.28,0.357934847,1.334166406,34.6,1.55185645,5.927337795,2.02,0.480006943,1.587450787
7,5,7.05,T,Positive,1,13,1.146128036,3.674234614,122,2.089905111,11.06797181,128,2.11058971,11.33578405,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.00,1.041392685,3.240370349,413.67,2.617699126,20.35108515,1.3,0.361727836,1.341640786,10.8,1.071882007,3.361547263,1.88,0.459392488,1.542724862
7,6,7.06,TB,B 68,1,8,0.954242509,2.915475947,73,1.86923172,8.5732141,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,0.56427143,1.779513042,179.83,2.257278488,13.42882472,1.19,0.340444115,1.3,38.8,1.599519189,6.266312047,2.14,0.496929648,1.624807681
7,7,7.07,D,LH82,2,11,1.079181246,3.391164992,58,1.770852012,7.64852927,65,1.819543936,8.093207028,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0,0.707106781,116.33,2.069421409,10.80894691,1.23,0.348304863,1.315294644,38.8,1.599519189,6.266312047,1.69,0.42975228,1.479864859
7,8,7.08,TD,D 54,2,12,1.113943352,3.535533906,80,1.908485019,8.972179222,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,0.56427143,1.779513042,216.67,2.337791927,14.73657581,1.07,0.315970345,1.252996409,61.3,1.794720352,7.863417408,1.87,0.457881897,1.539480432
7,9,7.09,TD,D 76,2,14,1.176091259,3.807886553,80,1.908485019,8.972179222,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00,0.477121255,1.58113883,294.50,2.470557485,17.17556404,0.96,0.292256071,1.208304597,10.6,1.064457989,3.33166625,2.41,0.532754379,1.705872211
7,10,7.10,N,Negative,2,14,1.176091259,3.807886553,58,1.770852012,7.64852927,65,1.819543936,8.093207028,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0,0.707106781,252.83,2.404548653,15.91644852,0.54,0.187520721,1.019803903,215.6,2.335658452,14.70034013,1.81,0.44870632,1.519868415
7,11,7.11,TD,D 17,2,11,1.079181246,3.391164992,80,1.908485019,8.972179222,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,0.522878745,1.683250823,248.17,2.396489942,15.76916823,1.02,0.305351369,1.232882801,42.3,1.636822098,6.544717972,2.06,0.485721426,1.6
7,12,7.12,TD,D 43,2,13,1.146128036,3.674234614,85,1.934498451,9.246621004,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,0.301029996,1.224744871,171.67,2.237208505,13.12122962,0.77,0.247973266,1.126942767,45.2,1.664955206,6.762642482,1.85,0.45484486,1.532970972
8,1,8.01,TB,B 76,1,4,0.698970004,2.121320344,85,1.934498451,9.246621004,92,1.968482949,9.617692031,109.06,2.041623078,10.46701344,80.97,1.913659563,9.026121732,74.41,1.877402214,8.654788237,6.00,0.84509804,2.549509757,190.00,2.281033367,13.80217374,1.93,0.46686762,1.558845727,0.2,0.079181246,0.836660027,2.61,0.557507202,1.763519209
8,2,8.02,TB,B 35,1,10,1.041392685,3.240370349,85,1.934498451,9.246621004,85,1.934498451,9.246621004,80.02,1.908571762,8.973080853,75.10,1.881366613,8.694644227,74.54,1.878149746,8.662289714,4.00,0.698970004,2.121320344,192.17,2.285932186,13.88044188,1.59,0.413299764,1.445683229,NA,NA,NA,NA,NA,NA
8,3,8.03,TB,B 37,1,10,1.041392685,3.240370349,73,1.86923172,8.5732141,80,1.908485019,8.972179222,92.07,1.968824965,9.621500324,79.62,1.906417403,8.950714312,86.86,1.943796528,9.346714832,1.33,0.367976785,1.354006401,206.00,2.315970345,14.37010786,1.23,0.348304863,1.315294644,NA,NA,NA,NA,NA,NA
8,4,8.04,TB,B 24,1,12,1.113943352,3.535533906,80,1.908485019,8.972179222,85,1.934498451,9.246621004,122.31,2.091015455,11.08218713,109.70,2.044139146,10.49751588,111.02,2.049282284,10.56014079,1.67,0.425968732,1.471960144,181.83,2.262055377,13.50308607,1.43,0.385606274,1.389244399,NA,NA,NA,NA,NA,NA
